Question ID,Sentence Order,Question,Answer Candidate Sentence
20,1,Do lincRNAs play a role in human cancer?,These findings_indicate that lincRNAs have active roles in modulating the cancer epigenome and may be important targets for cancer diagnosis and therapy
20,2,Do lincRNAs play a role in human cancer?,In summary our study highlights the emerging role of lincRNAs as potentially powerful and biologically functional pan-cancer biomarkers and represents a significant leap forward in understanding the biological and clinical functions of lincRNAs in cancers
20,3,Do lincRNAs play a role in human cancer?,Here we give a perspective on recent results regarding noncoding transcription in cancer progression focusing on the emerging role of long intergenic noncoding_RNAs lincRNAs
20,4,Do lincRNAs play a role in human cancer?,The aim of this study was to explore the contribution of lincRNAs located at ESCC susceptibility_loci identified by genome-wide_association_studies to the risk and prognosis of ESCC
20,5,Do lincRNAs play a role in human cancer?,Despite growing consensus that long intergenic_non-coding ribonucleic acids lincRNAs are modulators of cancer the knowledge about the deoxyribonucleic acid DNA methylation_patterns of lincRNAs in cancers remains limited
20,6,Do lincRNAs play a role in human cancer?,The present_study combines large-scale identification and functional prediction of human lincRNAs and is a pioneering work in characterizing cancer-associated lincRNAs by bioinformatics
20,7,Do lincRNAs play a role in human cancer?,Our results should provide the foundation for functional studies of these candidate mRNAs and lincRNAs to further our understanding of how HER2 amplification results in tumorigenesis
20,8,Do lincRNAs play a role in human cancer?,Cisplatin induces DNA_damage through cross-linking and long integrated non-coding_RNAs lincRNAs play an important_role in chemical induced DNA-damage response which suggests that lincRNAs may be also associated with cisplatin resistance
20,9,Do lincRNAs play a role in human cancer?,lincRNAs have been increasingly acknowledged for their expressional dynamics and likely functional associations with cancers
20,10,Do lincRNAs play a role in human cancer?,Taken_together our results_suggest 1 that lincRNAs are novel intracellular molecular effectors of specific cytokines in cells of the innate_immune_system in humans in vivo and 2 that lincRNAs might be involved in the molecular pathophysiology of RA
20,11,Do lincRNAs play a role in human cancer?,The data presented_here will facilitate future_studies to unravel the function of lincRNAs in insecticide resistance or the response to xenobiotics of eukaryotic cells
20,12,Do lincRNAs play a role in human cancer?,By integrating cancer subtype data and patient clinical information we identified lincRNAs with promoter_methylation_patterns that were associated with cancer status subtype or prognosis for several cancers
20,13,Do lincRNAs play a role in human cancer?,lincRNAs recently have been discovered as evolutionary conserved transcripts of non-coding DNA_sequences and have been implicated in the regulation of cellular differentiation
20,14,Do lincRNAs play a role in human cancer?,We discuss how lincRNAs can be used for cancer diagnosis and prognosis and serve as potential_therapeutic_targets
20,15,Do lincRNAs play a role in human cancer?,The functional roles of these normal lincRNAs nlincRNAs in the regulation of protein coding genes in normal and disease biology are yet to be established
20,16,Do lincRNAs play a role in human cancer?,Long intergenic noncoding_RNAs lincRNAs play_important_roles in regulating various biological_processes in cancer including proliferation and apoptosis
20,17,Do lincRNAs play a role in human cancer?,Long intergenic noncoding_RNAs lincRNAs play_important_roles in regulating the biological_functions and underlying_molecular_mechanisms of colorectal_cancer CRC
20,18,Do lincRNAs play a role in human cancer?,Noncoding RNAs ncRNAs are emerging as key molecules in human cancer with the potential to serve as novel markers of disease and to reveal uncharacterized aspects of tumor biology
20,19,Do lincRNAs play a role in human cancer?,Consistent with previous findings of co-expression between neighboring protein-coding genes lincRNAs were typically co-expressed with their neighboring genes which was found in both cancerous and normal_tissues
20,20,Do lincRNAs play a role in human cancer?,Recent high-throughput transcript discoveries have yielded a growing recognition of long intergenic_non-coding_RNAs lincRNAs a class of arbitrarily defined transcripts 200 nt that are primarily produced from the intergenic space
20,21,Do lincRNAs play a role in human cancer?,Among the 538 lincRNAs studied 124 lincRNAs were exclusively expressed in cancer adjacent tissues and 62 lincRNAs were exclusively expressed in the cancer tissues
20,22,Do lincRNAs play a role in human cancer?,In this paper first we reported a comprehensive map of global lincRNAs polyadenylation sites PASs in five human cancer genomes second we proposed a grouping method based on the pattern of genes expression and the manner of alternative polyadenylation APA third we investigated the distribution of motifs surrounding PASs
20,23,Do lincRNAs play a role in human cancer?,All these methods are aimed to introduce into the cell genes or mRNAs encoding a set of four transcription_factors OCT 4 SOX-2 KLF-4 and c-MYC or a set of three lincRNAs large intragenic non-coding_RNAs acting downstream of the reprogramming transcription_factors OCT-4 SOX-2 and NANOG
20,24,Do lincRNAs play a role in human cancer?,Finally we propose a genetic mediator and key_regulator model to unveil the subtle relationships_between lincRNAs and lung_cancer
20,25,Do lincRNAs play a role in human cancer?,Long intergenic noncoding_RNAs lincRNAs have important_roles in biological_functions molecular_mechanisms and prognostic values in colorectal_cancer CRC
20,26,Do lincRNAs play a role in human cancer?,This study_aimed to characterize the structure expression function and regulation mechanism of MIR503HG and LINC00629 lincRNAs
20,27,Do lincRNAs play a role in human cancer?,Long intergenic noncoding_RNAs lincRNAs are a relatively new class of non-coding_RNAs that have the potential as cancer biomarkers
