question,exact answer,snippets
What is the association between GERD and gluten ?,N/A,"Food intolerance is a common complaint amongst patients with functional gastrointestinal (GI) disorders (FGIDs), including those with irritable bowel syndrome (IBS), functional dyspepsia, as well as gastroesophageal reflux disease. (http://www.ncbi.nlm.nih.gov/pubmed/23567359)
There is a great interest in the role of a major dietary protein, gluten, in the production of symptoms (http://www.ncbi.nlm.nih.gov/pubmed/23567359)
several published studies have consistently shown the efficacy of a gluten-free diet in rapidly controlling esophageal symptoms and in preventing their recurrence (http://www.ncbi.nlm.nih.gov/pubmed/21438963)
Since the participation of gluten in the esophageal symptoms of CD seems clear, its intimate mechanisms have yet to be elucidated, and several hypothesis have been proposed, including the specific immune alterations characterizing CD, the reduction in nutrient absorption determining the arrival of intact gluten to distal gastrointestinal segments, and various dysregulations in the function of gastrointestinal hormones and peptides. (http://www.ncbi.nlm.nih.gov/pubmed/21438963)
Celiac disease (CD) patients often complain of symptoms consistent with gastroesophageal reflux disease (GERD). We aimed to assess the prevalence of GERD symptoms at diagnosis and to determine the impact of the gluten-free diet (GFD). (http://www.ncbi.nlm.nih.gov/pubmed/20601132)
: At diagnosis, celiac patients had a significantly higher reflux symptom mean score than healthy controls (P < .001). (http://www.ncbi.nlm.nih.gov/pubmed/20601132)
Moderate to severe symptoms were significantly associated with the classical clinical presentation of CD (35.0%)  (http://www.ncbi.nlm.nih.gov/pubmed/20601132)
GERD symptoms are common in classically symptomatic untreated CD patients. The GFD is associated with a rapid and persistent improvement in reflux symptoms that resembles the healthy population. (http://www.ncbi.nlm.nih.gov/pubmed/20601132)
Effect of gluten-free diet on preventing recurrence of gastroesophageal reflux disease-related symptoms in adult celiac patients with nonerosive reflux disease. (http://www.ncbi.nlm.nih.gov/pubmed/18853995)
The present study is the first to have evaluated the effect of a GFD in the nonerosive form of GERD in CD patients, by means of clinical long-term follow-up, suggesting that GFD could be a useful approach in reducing GERD symptoms and in the prevention of recurrence. (http://www.ncbi.nlm.nih.gov/pubmed/18853995)
Altogether, 0.9% of patients with oesophagitis and 0.6% of those with oesophageal reflux symptoms had coeliac disease.  (http://www.ncbi.nlm.nih.gov/pubmed/15316418)
The prevalence of oesophagitis was 5.2% in untreated coeliac disease, 5.6% in treated coeliac disease, (http://www.ncbi.nlm.nih.gov/pubmed/15316418)
In coeliac patients, the reflux symptoms were mild but nevertheless were alleviated on a gluten-free diet. (http://www.ncbi.nlm.nih.gov/pubmed/15316418)
The association between these two conditions is, at most, weak, but a gluten-free diet may still bring symptomatic relief for reflux symptoms in coeliac disease (http://www.ncbi.nlm.nih.gov/pubmed/15316418)"
Are genes symmetrically distributed between leading and lagging DNA strand in bacteria?,[no],"Genomic DNA is used as the template for both replication and transcription, whose machineries may collide and result in mutagenesis, among other damages. Because head-on collisions are more deleterious than codirectional collisions, genes should be preferentially encoded on the leading strand to avoid head-on collisions, as is observed in most bacterial genomes examined. (http://www.ncbi.nlm.nih.gov/pubmed/24273314)
Most genes in bacteria are encoded on the leading strand of replication. This presumably avoids the potentially detrimental head-on collisions that occur between the replication and transcription machineries when genes are encoded on the lagging strand. (http://www.ncbi.nlm.nih.gov/pubmed/23538833)
The majority of bacterial genes are located on the leading strand (http://www.ncbi.nlm.nih.gov/pubmed/22735706)
genes of some functional categories such as ribosome have higher preferences to be on the leading strands (http://www.ncbi.nlm.nih.gov/pubmed/22735706)
genes of some functional categories such as transcription factor have higher preferences on the lagging strands (http://www.ncbi.nlm.nih.gov/pubmed/22735706)
essential genes are more preferentially situated at the leading strand than at the lagging strand (http://www.ncbi.nlm.nih.gov/pubmed/20417622)
remarkable strand-bias of the distribution of essential genes (http://www.ncbi.nlm.nih.gov/pubmed/20417622)
Head-on encounters between the replication and transcription machineries on the lagging DNA strand can lead to replication fork arrest and genomic instability. To avoid head-on encounters, most genes, especially essential and highly transcribed genes, are encoded on the leading strand such that transcription and replication are co-directional. (http://www.ncbi.nlm.nih.gov/pubmed/21350489)
Replication-associated purine asymmetry may contribute to strand-biased gene distribution. (http://www.ncbi.nlm.nih.gov/pubmed/17532183)
strand-biased gene distribution (SGD) (http://www.ncbi.nlm.nih.gov/pubmed/17532183)
SGD correlates not only with polC, but also with purine asymmetry (PAS) (http://www.ncbi.nlm.nih.gov/pubmed/17532183)
In bacteria, most genes are on the leading strand of replication, a phenomenon attributed to collisions between the DNA and RNA polymerases. (http://www.ncbi.nlm.nih.gov/pubmed/15942025)
genes whose expression is important for fitness are selected to the leading strand because this reduces the duration of these interruptions (http://www.ncbi.nlm.nih.gov/pubmed/15942025)
Among prokaryotic genomes, the distribution of genes on the leading and lagging strands of the replication fork is known to be biased.  (http://www.ncbi.nlm.nih.gov/pubmed/17532183)
We show that the evidence they provided is invalid and that the existence of lagging strand encoded genes is explainable by a balance between deleterious mutations that bring genes from the leading to the lagging strand and purifying selection purging such mutants. (http://www.ncbi.nlm.nih.gov/pubmed/24273314)
Based on those experimentally determined for 10 bacteria, we find that essential genes are more preferentially situated at the leading strand than at the lagging strand, for all the 10 genomes studied, confirming previous findings based on either smaller datasets or putatively assigned ones by homology search. (http://www.ncbi.nlm.nih.gov/pubmed/20417622)
The majority of bacterial genes are located on the leading strand, and the percentage of such genes has a large variation across different bacteria. (http://www.ncbi.nlm.nih.gov/pubmed/22735706)
Most genes in bacteria are encoded on the leading strand of replication. (http://www.ncbi.nlm.nih.gov/pubmed/23538833)
This paradox could be explained by assuming that the stronger mutation pressure and selection after inversion preferentially eliminate genes transferred from the leading to the lagging DNA strand. (http://www.ncbi.nlm.nih.gov/pubmed/11677621)
We have shown that the relative number of translocations which have switched positions of genes from the leading to the lagging DNA strand is lower than the number of translocations which have transferred genes from the lagging strand to the leading strand of prokaryotic genomes. (http://www.ncbi.nlm.nih.gov/pubmed/11677621)
Most genes in bacteria are encoded on the leading strand of replication (http://www.ncbi.nlm.nih.gov/pubmed/23538833)
The majority of bacterial genes are located on the leading strand, and the percentage of such genes has a large variation across different bacteria (http://www.ncbi.nlm.nih.gov/pubmed/22735706)
We have shown that the relative number of translocations which have switched positions of genes from the leading to the lagging DNA strand is lower than the number of translocations which have transferred genes from the lagging strand to the leading strand of prokaryotic genomes (http://www.ncbi.nlm.nih.gov/pubmed/11677621)
Using Monte Carlo methods, we have simulated, under experimentally determined directional mutation pressure, the divergence rate and the elimination rate of genes depending on their location in respect to the leading/lagging DNA strands in the asymmetric prokaryotic genome (http://www.ncbi.nlm.nih.gov/pubmed/15823418)"
Is there any link between conserved noncoding elements and alternative splicing in vertebrates?,[yes],"Some of the most highly conserved sequences occur in genes encoding RNA binding proteins, particularly the RNA splicing-associated SR genes. Differences in sequence conservation between plants and animals are likely to reflect differences in the biology of the organisms, with plants being much more able to tolerate genomic deletions and whole-genome duplication events due, in part, to their far greater fecundity compared with vertebrates. (http://www.ncbi.nlm.nih.gov/pubmed/24681619)"
Which molecule is targeted by the drug Gevokizumab?,[IL-1β],"Detailed mechanistic analysis of gevokizumab, an allosteric anti-IL-1β antibody with differential receptor-modulating properties. (http://www.ncbi.nlm.nih.gov/pubmed/24194526)
Gevokizumab is a potent anti-IL-1β antibody being developed as a treatment for diseases in which IL-1β has been associated with pathogenesis. Previous data indicated that gevokizumab negatively modulates IL-1β signaling through an allosteric mechanism.  (http://www.ncbi.nlm.nih.gov/pubmed/24194526)
These data indicate, therefore, that gevokizumab is a unique inhibitor of IL-1β signaling that may offer an alternative to current therapies for IL-1β-associated autoinflammatory diseases. (http://www.ncbi.nlm.nih.gov/pubmed/24194526)
Most recently, rising evidence reports on the use of adalimumab, etanercept, and golimumab, while use of anti-interleukin (IL)-1 agents (anakinra, canakinumab, gevokizumab), IL-6 blockers (tocilizumab), and rituximab (depleting anti-CD20 antibody) is also increasing. (http://www.ncbi.nlm.nih.gov/pubmed/23729309)
One target-two different binding modes: structural insights into gevokizumab and canakinumab interactions to interleukin-1β. (http://www.ncbi.nlm.nih.gov/pubmed/23041424)
Canakinumab and gevokizumab are highly specific IL-1β monoclonal antibodies.  (http://www.ncbi.nlm.nih.gov/pubmed/23041424)
Gevokizumab is claimed to be a regulatory therapeutic antibody that modulates IL-1β bioactivity by reducing the affinity for its IL-1RI:IL-1RAcP signaling complex. How IL-1β signaling is affected by both canakinumab and gevokizumab was not yet experimentally determined. We have analyzed the crystal structures of canakinumab and gevokizumab antibody binding fragment (Fab) as well as of their binary complexes with IL-1β.  (http://www.ncbi.nlm.nih.gov/pubmed/23041424)
In contrast, gevokizumab occupies an allosteric site on IL-1β and complex formation results in a minor reduction of binding affinity to IL-1RI. This suggests two different mechanisms of IL-1β pathway attenuation. (http://www.ncbi.nlm.nih.gov/pubmed/23041424)
Gevokizumab is a novel, human-engineered monoclonal anti-IL-1β antibody.  (http://www.ncbi.nlm.nih.gov/pubmed/22699287)
Interleukin-1β-regulating antibody XOMA 052 (gevokizumab) in the treatment of acute exacerbations of resistant uveitis of Behcet's disease: an open-label pilot study. (http://www.ncbi.nlm.nih.gov/pubmed/22084392)
This pilot study aimed to evaluate the safety, pharmacokinetics and clinical activity of XOMA 052 (gevokizumab), a recombinant humanised anti-interleukin 1β antibody, in Behçet's disease patients with uveitis.  (http://www.ncbi.nlm.nih.gov/pubmed/22084392)
Gevokizumab, an anti-IL-1β mAb for the potential treatment of type 1 and 2 diabetes, rheumatoid arthritis and cardiovascular disease. (http://www.ncbi.nlm.nih.gov/pubmed/21154167)
XOMA is developing gevokizumab (XOMA-052), an IgG2 humanized mAb against human IL-1β, for the potential treatment of these diseases. Gevokizumab has a high affinity for IL-1β and a long t1/2, which would allow for once-monthly dosing and offer a considerable advantage for patients over agents requiring more frequent dosing. (http://www.ncbi.nlm.nih.gov/pubmed/21154167)
To meet these challenges, we developed XOMA 052 (gevokizumab), a potent anti-IL-1β neutralizing antibody that was designed in silico and humanized using Human Engineering™ technology.  (http://www.ncbi.nlm.nih.gov/pubmed/21048425)
In the present study, we measured the impact of gevokizumab on the IL-1β system using Schild analysis and surface plasmon resonance studies, both of which demonstrated that gevokizumab decreases the binding affinity of IL-1β for the IL-1 receptor type I (IL-1RI) signaling receptor, but not the IL-1 counter-regulatory decoy receptor (IL-1 receptor type II). (http://www.ncbi.nlm.nih.gov/pubmed/24194526)
Canakinumab and gevokizumab are highly specific IL-1β monoclonal antibodies. (http://www.ncbi.nlm.nih.gov/pubmed/23041424)
Gevokizumab is a novel, human-engineered monoclonal anti-IL-1β antibody. (http://www.ncbi.nlm.nih.gov/pubmed/22699287)
Canakinumab and gevokizumab are highly specific IL-1β monoclonal antibodies (http://www.ncbi.nlm.nih.gov/pubmed/23041424)
Gevokizumab is a novel, human-engineered monoclonal anti-IL-1β antibody (http://www.ncbi.nlm.nih.gov/pubmed/22699287)"
Which protein pathway is regulating SGK1-mediated phosphorylation of FOXO3a to control cell proliferation?,[The mTOR pathway],"The mTOR pathway controls cell proliferation by regulating the FoxO3a transcription factor via SGK1 kinase (http://www.ncbi.nlm.nih.gov/pubmed/24558442)
the FoxO3a transcription factor is coordinately regulated by mTORC1 and mTORC2, and plays a crucial role in controlling cell proliferation (http://www.ncbi.nlm.nih.gov/pubmed/24558442)
mTORC1, in coordination with mTORC2, controls cell proliferation by regulating FoxO3a gene expression and SGK1-mediated phosphorylation of FoxO3a at Ser314 (http://www.ncbi.nlm.nih.gov/pubmed/24558442)
These results suggest that mTORC1, in coordination with mTORC2, controls cell proliferation by regulating FoxO3a gene expression and SGK1-mediated phosphorylation of FoxO3a at Ser314 (http://www.ncbi.nlm.nih.gov/pubmed/24558442)
SGK1 overexpression suppressed CDKI expression in p18-deficient cells, whereas SGK1 knockdown induced CDKI expression in wild-type cells, resulting in the suppression of cell proliferation. These results suggest that mTORC1, in coordination with mTORC2, controls cell proliferation by regulating FoxO3a gene expression and SGK1-mediated phosphorylation of FoxO3a at Ser314. (http://www.ncbi.nlm.nih.gov/pubmed/24558442)"
List FDA approved treatments for androgenetic allopecia,"[Minoxidil]
[Finasteride]
[Laser hair comb]","Topical minoxidil 2%-5% 1 mL twice daily or finasteride 1 mg daily are recommended as first line treatments, followed by the use of Food and Drug Administration-cleared HairMax LaserComb® in patients who do not respond to first line modalities. (http://www.ncbi.nlm.nih.gov/pubmed/24170634)
Recently, in addition to the two currently approved U.S. Food and Drug Administration (FDA) medications (minoxidil and finasteride), a novel device was FDA-approved for the treatment of hair loss, the laser hair comb. (http://www.ncbi.nlm.nih.gov/pubmed/21061765)
In addition, low-level light therapy (LLLT) has recently been approved by the United States Food and Drug Administration (FDA) for the treatment of hair loss.  (http://www.ncbi.nlm.nih.gov/pubmed/20689478)
Currently there are two U.S. Food and Drug Administration (FDA)-approved agents that promote hair regrowth: over-the-counter topical minoxidil solution for men and women and prescription oral finasteride tablets for men.  (http://www.ncbi.nlm.nih.gov/pubmed/12410672)
Topical monoxidil and oral finasteride are commonly in use and have FDA approval for the treatment of male androgenetic alopecia; dutasteride, a type I and II 5-alpha-reductase inhibitor, is on hold in Phase III trials. (http://www.ncbi.nlm.nih.gov/pubmed/20426708)
The only FDA-approved dermatological indication of finasteride is androgenetic alopecia. (http://www.ncbi.nlm.nih.gov/pubmed/20300365)
Finasteride (Propecia) was approved by the FDA in 1998 for treating men with androgenetic alopecia. (http://www.ncbi.nlm.nih.gov/pubmed/15099321)"
List fluorescent reporter proteins.,"[green fluorescent protein, Gfp]
[Timer, DsRed1-E5]
[red fluorescent protein, dsRed]
[yellow fluorescent protein]
[beta-phycoerythrin]
[coral fluorescent reporter protein]
[enhanced green fluorescent reporter protein]
[mCherry]","Fluorescent Timer, or DsRed1-E5, is a mutant of the red fluorescent protein, dsRed, in which fluorescence shifts over time from green to red as the protein matures. (http://www.ncbi.nlm.nih.gov/pubmed/24128932)
green fluorescent protein (Gfp) (http://www.ncbi.nlm.nih.gov/pubmed/23822504)
Characterization of flavin-based fluorescent proteins: an emerging class of fluorescent reporters. (http://www.ncbi.nlm.nih.gov/pubmed/23741385)
Flavin-based fluorescent proteins (FbFPs) (http://www.ncbi.nlm.nih.gov/pubmed/23741385)
mCherry was employed as a reporter protein  (http://www.ncbi.nlm.nih.gov/pubmed/23347004)
yellow fluorescent protein (http://www.ncbi.nlm.nih.gov/pubmed/20601526)
red cytoplasmic fluorescent reporter protein.  (http://www.ncbi.nlm.nih.gov/pubmed/20532610)
red fluorescent reporter protein (http://www.ncbi.nlm.nih.gov/pubmed/20532610)
 enhanced green fluorescent reporter protein (http://www.ncbi.nlm.nih.gov/pubmed/20471991)
Fluorescent and luminescent reporter genes have become popular tools for the real-time monitoring of gene expression in living cells.  (http://www.ncbi.nlm.nih.gov/pubmed/20429918)
 fluorescent reporter protein [green fluorescent protein (GFP) and DsRed2] (http://www.ncbi.nlm.nih.gov/pubmed/18592415)
coral fluorescent reporter protein  (http://www.ncbi.nlm.nih.gov/pubmed/18566430)
driving a cassette for the enhanced green ""live"" fluorescent reporter protein (eGFP)  (http://www.ncbi.nlm.nih.gov/pubmed/18556507)
GFP as a fluorescent reporter protein (http://www.ncbi.nlm.nih.gov/pubmed/18501461)
 protein (http://www.ncbi.nlm.nih.gov/pubmed/18473954)
red fluorescent reporter protein (RFP) gene.  (http://www.ncbi.nlm.nih.gov/pubmed/17646710)
The red fluorescent protein eqFP611 (http://www.ncbi.nlm.nih.gov/pubmed/17553146)
the green fluorescent reporter protein gene  (http://www.ncbi.nlm.nih.gov/pubmed/17407539)
 red fluorescent reporter protein (http://www.ncbi.nlm.nih.gov/pubmed/16468989)
beta-phycoerythrin, a fluorescent reporter protein derived from algae (http://www.ncbi.nlm.nih.gov/pubmed/15258449)
 live-cell fluorescent reporter protein, Timer (http://www.ncbi.nlm.nih.gov/pubmed/14579736)"
Which protein is affected by dusp8 activation?,[JNK],"Thus, rosiglitazone's neuroprotective effect after ischemia is mediated by blocking JNK phosphorylation induced by ischemia via DUSP8 upregulation. (http://www.ncbi.nlm.nih.gov/pubmed/23032483)
Prevention of JNK phosphorylation as a mechanism for rosiglitazone in neuroprotection after transient cerebral ischemia: activation of dual specificity phosphatase. (http://www.ncbi.nlm.nih.gov/pubmed/23032483)
These results suggest that JNK activation by H(2)O(2) plus PDTC resulted from the down-regulation of JNK phosphatases. (http://www.ncbi.nlm.nih.gov/pubmed/11313966)
M3/6 is a dual-specificity phosphatase selective for JNK (http://www.ncbi.nlm.nih.gov/pubmed/11566103)
Phosphorylation of the M3/6 dual-specificity phosphatase enhances the activation of JNK by arsenite. (http://www.ncbi.nlm.nih.gov/pubmed/22100391)
Dual-specificity phosphatases (DUSPs) play a very important role in these events by modulating the extent of JNK phosphorylation and activation and thus regulating cellular responses to stress. M3/6 (DUSP8) is one of the dual-specificity protein phosphatases with distinct specificity towards JNK (http://www.ncbi.nlm.nih.gov/pubmed/22100391)
Both anisomycin and arsenite activate the JNK pathway and, in addition, inactivate the M3/6 phosphatase. (http://www.ncbi.nlm.nih.gov/pubmed/11948422)
M3/6 (DUSP8) is a dual-specificity phosphatase implicated in the dephosphorylation and inactivation of JNK and, to a lesser extent, p38 MAPKs and is found in a complex with these kinases, along with other pathway components, held together by scaffold proteins. (http://www.ncbi.nlm.nih.gov/pubmed/23159405)
. We suggest that reduction of HSP70 by expanded polyglutamine is implicated in aggregation and inhibition of M3/6 and in activation of JNK and AP-1. (http://www.ncbi.nlm.nih.gov/pubmed/12598532)"
Is the long non- coding RNA malat-1 up or downregulated in cancer?,[upregulated],"lncRNA MALAT-1 expression is upregulated in some tumors. (http://www.ncbi.nlm.nih.gov/pubmed/22722759)
Metastasis-Associated-in-Lung-Adenocarcinoma-Transcript-1 (MALAT-1) is an ncRNA that is highly expressed in several tumor types (http://www.ncbi.nlm.nih.gov/pubmed/22088988)
metastasis-associated lung adenocarcinoma transcript (MALAT)-1 is known to be consistently upregulated in several epithelial malignancies (http://www.ncbi.nlm.nih.gov/pubmed/24163781)
MALAT-1 was up-regulated in human prostate cancer tissues and cell lines. (http://www.ncbi.nlm.nih.gov/pubmed/23845456)
Genome-wide profiling revealed that MALAT-1 and prostate cancer gene 3 (PCA3) are overexpressed in PCa tissues (http://www.ncbi.nlm.nih.gov/pubmed/23726266)
The level of MALAT-1 in LSCC was significantly higher than that in the corresponding adjacent non-neoplastic tissues (http://www.ncbi.nlm.nih.gov/pubmed/23104528)
metastasis-associated lung adenocarcinoma transcript 1, MALAT1, is a long non-coding RNA (lncRNA) that has been discovered as a marker for lung cancer metastasis. It is highly abundant, (http://www.ncbi.nlm.nih.gov/pubmed/22858678)
(MALAT1), a long non-coding RNA (lncRNA), is up-regulated in many solid tumors and associated with cancer metastasis and recurrence (http://www.ncbi.nlm.nih.gov/pubmed/21678027)
 Quantitative analyses indicated a 6-7-fold increased RNA level in HCCs versus uninvolved liver, (http://www.ncbi.nlm.nih.gov/pubmed/16878148)
(hcn), encoding a 7-kb mRNA-like transcript. The gene appears to be the murine ortholog of the human alpha gene, that is, MALAT-1. (http://www.ncbi.nlm.nih.gov/pubmed/16878148)
After suppression subtractive hybridization and differential screening, we detected the metastasis-associated lung adenocarcinoma transcript 1 (MALAT-1) gene as one of the major genes upregulated in ESS (http://www.ncbi.nlm.nih.gov/pubmed/16441420)
a novel non-coding RNA (MALAT-1) to be expressed at significantly higher levels in stage-I and stage-II NSCLC primary tumours that subsequently metastasised (http://www.ncbi.nlm.nih.gov/pubmed/15552795)
quantitative RT-PCR verified overexpression in metastasizing samples. Several of the identified genes (eIF4A1, thymosin beta4 and a novel transcript named MALAT-1) were demonstrated to be significantly associated with metastasis in NSCLC patients  (http://www.ncbi.nlm.nih.gov/pubmed/12970751)
Σ RNA is a class of conserved large non-coding RNAs (murine Hepcarcin; human MALAT-1) up-regulated in carcinomas (http://www.ncbi.nlm.nih.gov/pubmed/21266177)
To date, most known NCTs studied have been relatively short, but several important regulatory NCTs, including XIST, MALAT-1, BC1 and BC200, are considerably larger in length (http://www.ncbi.nlm.nih.gov/pubmed/18006640)
These NCTs were among the most abundantly expressed transcripts detected (http://www.ncbi.nlm.nih.gov/pubmed/18006640)
The nuclear transcript MALAT-1 has been functionally associated with gene regulation and alternative splicing and its regulation has been shown to impact proliferation, apoptosis, migration and invasion (http://www.ncbi.nlm.nih.gov/pubmed/22858678)"
In which cells are gasdermins expressed?,[epithelial cells],"Members of the novel gene family Gasdermin (Gsdm) are exclusively expressed in a highly tissue-specific manner in the epithelium of skin and the gastrointestinal tract.  (http://www.ncbi.nlm.nih.gov/pubmed/18693275)
These results indicate that the mouse Gsdma and Gsdma3 genes share common function to regulate epithelial maintenance  (http://www.ncbi.nlm.nih.gov/pubmed/23979942)
Gasdermin (GSDM or GSDMA), expressed in the upper gastrointestinal tract but frequently silenced in gastric cancers (GCs), regulates apoptosis of the gastric epithelium. (http://www.ncbi.nlm.nih.gov/pubmed/19051310)
. Immunohistochemical analysis revealed that gasdermins are expressed specifically in cells at advanced stages of differentiation in the upper epidermis, the differentiating inner root sheath and hair shaft and in the most mature sebocytes of the sebaceous gland and preputial, meibomium, ceruminous gland, and anal glands. This expression pattern suggests a role for gasdermins in differentiation of the epidermis and its appendages. (http://www.ncbi.nlm.nih.gov/pubmed/15737203)"
