question,baseline_rank,method_1_rank,method_2_rank,method_3_rank,method_4_rank,method_5_rank,method_6_rank
What is the association between GERD and gluten ?,NA,NA                                                                                            ,NA,NA,NA,NA,NA
Are genes symmetrically distributed between leading and lagging DNA strand in bacteria ?,NA,NA                                                                                            ,NA,NA,NA,NA,NA
Is there any link between conserved noncoding elements and alternative splicing in vertebrates ?,NA,NA                                                                                            ,NA,NA,NA,NA,NA
Which molecule is targeted by the drug Gevokizumab ?,NA,NA                                                                                            ,NA,0,0,NA,0
Which protein pathway is regulating SGK1-mediated phosphorylation of FOXO3a to control cell proliferation ?,0,0,0,0,0,0,0
List FDA approved treatments for androgenetic allopecia,0,0,0,0,1,NA,0
List fluorescent reporter proteins .,NA,NA,NA,NA,NA,4,NA
Which protein is affected by dusp8 activation ?,NA,NA,NA,NA,NA,NA,NA
Is the long non- coding RNA malat-1 up or downregulated in cancer ?,NA,NA,NA,NA,NA,NA,NA
In which cells are gasdermins expressed ?,0,0,NA,NA,NA,NA,NA
Which proteins act as factors that promote transcription-coupled repair in bacteria ?,2,2,0,0,0,NA,0
In which diseases have electronic patient diaries been applied ?,1,1,2,0,0,0,0
Is COL5A2 gene associated to ischemic heart disease ?,NA,NA,NA,NA,NA,NA,NA
Does thyroid hormone receptor beta1 affect insulin secretion ?,NA,NA,NA,NA,NA,NA,NA
What are the mobile applications fields of use for patients ?,1,1,NA,NA,1,1,2
What types of DNA mutations are induced by 2-hydroxy-dATP ( 2-OH-dATP ) ?,NA,NA,1,1,1,3,1
Can botulism poisoning of a pregnant woman harm her fetus ?,NA,0,NA,NA,2,NA,1
Has silicon been used in treatment of incontinence ?,NA,NA,NA,NA,NA,NA,NA
List human proteins that are subject to a dimer-to-tetramer transition .,NA,NA,1,1,NA,NA,1
What is the incidence of Edwards syndrom in the european population ?,NA,NA,NA,NA,NA,NA,NA
Which genes are regulated by MEF-2 in the heart ?,NA,NA,NA,NA,NA,3,NA
List clinical trials for prevention of sarcopenia,3,3,NA,NA,0,NA,NA
Are there interactomes available for POU5F1 and SOX2 ?,0,0,NA,NA,0,9,NA
Give an overview of visualizing genomes with oligopaint FISH probes .,NA,NA,NA,2,1,1,2
Which gene has been implicated in Majeed Syndrome ?,NA,NA,NA,0,0,NA,0
What histone trimethylation has been associated to RNA splicing ?,NA,NA,0,0,1,NA,0
Which is the main regulatory molecule of SERCA2A function in the cardiac muscle ?,NA,NA,NA,NA,NA,NA,NA
Are thyroid hormone receptors implicated in arterial hypertension ?,0,0,NA,3,0,NA,3
What type of cancers and inherited diseases have been associated to mutations in the Notch pathway ?,NA,NA,0,0,1,NA,0
Against which organisms has reverse vaccinology been used ?,NA,NA,NA,NA,NA,0,NA
Which mitochondrial genes are regulated by thyroid hormone ?,1,1,NA,NA,0,NA,NA
Is Alpers disease inherited in an autosomal recessive mode ?,0,0,0,0,0,NA,NA
Which packages are used for performing overlap analysis of genomic regions in R / bioconductor ?,NA,NA,NA,NA,NA,NA,NA
What are the reported adverse effects of topical minoxidil ?,6,6,1,NA,6,NA,1
Which cellular processes are regulated by Nanog ?,NA,NA,1,4,1,1,1
What is the treatment of Riedel disease ( thyroiditis ) ?,NA,NA,NA,NA,NA,NA,NA
Which post-translational histone modifications are characteristic of facultative heterochromatin ?,NA,NA,7,7,NA,7,7
